uuid,company,description,categories,location,revenue,num_of_employees,linkedin,website,status
b4e2f1bd-29bc-4257-86da-8b2c0fcd7699,Lpconsulting,LP Consulting is an Australia based professional engineering consulting firm that provides high quality consultancy services all sectors.,"Association,Consulting","Sydney,New South Wales,Australia,Oceania",Less than $1M,1-10,https://www.linkedin.com/company/lp-consulting-australia/,http://www.lp-consulting.com.au,active
f144c090-e955-5ff9-e457-315e3ef6cd3c,Inc.com,Everything you need to know to start and grow your business now.,"Business Information Systems,Business Intelligence,Enterprise Software,Information Technology,News","New York,New York,United States,North America",Less than $1M,51-100,http://www.linkedin.com/company/inc.-magazine,http://www.inc.com,active
ad8efff0-1e05-f89c-c08f-1b40a49edb20,EboundServices LLC,An official Google AdX Channel Partner offering Ad optimization services.,"Advertising,Information Technology","Karachi,Sindh,Pakistan,Asia",Less than $1M,1-10,NA,http://www.eboundservices.com,active
6eebd4ac-5726-4be6-9ea8-b2e71537079e,Freedom Graphic Systems Inc.,"Freedom Graphic Systems is a leading provider of one-to-one direct mail printing, mailing and logistics solutions.","Graphic Design,Printing,Web Design","Milton,Wisconsin,United States,North America",NA,501-1000,https://www.linkedin.com/company/freedom-graphic-systems,https://www.fgs.com,active
505c01b3-e644-bc23-bbe2-3f4a5a796210,Chase Paymentech,Provider of comprehensive electronic payment solutions.,"Credit Cards,E-Commerce,Mobile Payments,Payments,Point of Sale","Dallas,Texas,United States,North America",$10M to $50M,5001-10000,http://www.linkedin.com/company/5387,https://merchantservices.chase.com,active
a6c0c47f-e61b-42b8-9036-84df9196367d,"Watertown Savings Bank - Watertown, NY",Watertown Savings Bank offer a wide variety of financial services to meet the needs of customers.,"Banking,Financial Services","Watertown,Massachusetts,United States,North America",NA,51-100,https://www.linkedin.com/company/watertown-savings-bank---watertown-ny/,https://www.watertownsavingsbank.com/,active
b9d62289-d55f-2692-f290-1433172f8289,Workday,Workday provides SaaS-based enterprise solutions for a company's human resources and financial management activities.,"Enterprise Software,Human Resources,SaaS,Software","Pleasanton,California,United States,North America",$1B to $10B,10001+,http://www.linkedin.com/company/workday,http://www.workday.com,active
3e678670-f849-5a07-92be-083d3cdd1e6d,Total System Services,Total System Services provides electronic payment processing and related services to financial and nonfinancial institutions.,"Financial Services,Payments,Transaction Processing","Columbus,Georgia,United States,North America",$1B to $10B,5001-10000,http://www.linkedin.com/company/tsys,http://www.tsys.com,active
1a4c9bfc-91d9-4586-bb7d-8d6f2d73b5d4,Quantum Computing Inc.,Quantum Computing is developing processes to commercialize quantum computing hardware and application services.,"Information Technology,Quantum Computing,Software","Leesburg,Virginia,United States,North America",$1M to $10M,11-50,https://www.linkedin.com/company/quantumcomputing,https://quantumcomputinginc.com,active
fc5fbe7a-562d-d577-b05e-46797caa134c,IBM,"IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.","Business Development,Business Information Systems,CRM,Software","Armonk,New York,United States,North America",$10B+,10001+,https://www.linkedin.com/company/ibm/,http://www.ibm.com/,active
540bac52-b654-4cb3-901c-1476401ec4ea,Fiserv - Investment Services Business,Fiserv - Investment Services Business is a technology provider for key segments of the wealth and asset management industry.,Financial Services,"Brookfield,Wisconsin,United States,North America",NA,NA,NA,NA,active
6a19fecb-cf95-1b97-ed84-480ae9f69a88,FIS - Fidelity Information Services,FIS - Fidelity Information Services is an international provider of financial services technology and outsourcing services.,"Financial Services,Food and Beverage,Information Services,Information Technology,Seafood","Chuo,Hokkaido,Japan,Asia",$1M to $10M,10001+,https://www.linkedin.com/company/fish-information-services-fis-com/,http://www.fis.com,active
e5c00cbd-ff5b-5600-d13a-6abc1181d1ed,Equinix,"Equinix is an internet company that provides data center services for companies, businesses, and organizations.","Cloud Data Services,Data Center,Information Technology,Infrastructure,Internet,Software","Redwood City,California,United States,North America",$1B to $10B,5001-10000,http://www.linkedin.com/company/equinix,http://www.equinix.com,active
7ef1577a-8779-8044-4a42-669b796f8e4f,Xerox,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media,Hardware,Information Technology,Printing,Software","Norwalk,Connecticut,United States,North America",$1B to $10B,10001+,http://www.linkedin.com/company/xerox,https://www.xerox.com/,active
bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Amazon Web Services,Amazon Web Services provides information technology infrastructure services to businesses in the form of web services.,"Information Services,Information Technology,Software,Web Development","Seattle,Washington,United States,North America",$10B+,10001+,https://www.linkedin.com/company/amazon-web-services,http://aws.amazon.com,active
2d22c693-a0aa-3fc5-8b9a-87eaa16b7933,Zoot Enterprises,Lending Automation Software Provider,"Credit,Fraud Detection,Risk Management,Software","Bozeman,Montana,United States,North America",$10M to $50M,251-500,https://www.linkedin.com/company/zoot-enterprises,https://zootsolutions.com/,active
cc03b884-13b9-4582-9b26-270636d623ad,Jarma Technologies,"Digital Signage, Meeting Room Booking System, Queue Management System, Internal Employee Communication, Video Wall, Multi touch Solution, ","Digital Signage,Software","Mumbai,Maharashtra,India,Asia",Less than $1M,51-100,https://www.linkedin.com/company/jarma-technologies/,https://www.jarma.co.in,active
38a0738c-2ec8-d0d5-dac4-7c7f08f6e91e,Custom Gateway,"A cloud based software platform, content database and fulfilment network to aide manufacturing Customisable or On Demand products profitably","3D Technology,Content Creators,Content Delivery Network,E-Commerce,Made to Order,Personalization,Software","Macclesfield,Cheshire East,United Kingdom,Europe",Less than $1M,51-100,https://www.linkedin.com/company/gateway-3d-ltd,http://www.custom-gateway.com,active
6241c5c3-6dbe-3495-ff65-71c36f2358b0,Worldpay,Worldpay is a global leader in payments processing technology and solutions for their merchant customers.,"E-Commerce,Payments","London,England,United Kingdom,Europe",$1B to $10B,5001-10000,http://www.linkedin.com/company/worldpay,http://worldpay.com,active
d5c5da54-9f6f-e1f5-b98b-83beffac92d3,Wolters Kluwers Financial Services,"Wolters Kluwer Financial Services is a provider of forms & compliance, risk management, finance & audit software to the financial industry.","Banking,Financial Services,Information Technology,Risk Management,Software","Minneapolis,Minnesota,United States,North America",$1B to $10B,10001+,https://www.linkedin.com/company/2481?trk=tyah,http://www.wolterskluwerfs.com/,active
ac6ef54a-1f35-a468-2001-f04dd3fc035e,Wipro Technologies,"Wipro is a global information technology, consulting and business process services company.","Cloud Data Services,Consulting,Enterprise Software,Information Services,Information Technology,Mobile,Outsourcing,Software","Bengaluru,Karnataka,India,Asia",$1B to $10B,10001+,http://www.linkedin.com/company/wipro,http://www.wipro.com,active
3e683191-c38b-5166-9ae3-8bfc3b975859,Wells Fargo,"Wells Fargo & Company is a diversified financial services company with $1.3 trillion assets providing banking, insurance, and investments.","Banking,Financial Services,FinTech,Insurance,Payments","San Diego,California,United States,North America",$10B+,10001+,https://www.linkedin.com/company/1235,http://www.wellsfargo.com,active
16bf3640-6ec9-959a-892b-95008b99dbf8,Virtru,Virtru is a data protection company and an inventor of the open TDF standard.,"Cyber Security,Information Technology,Privacy,Security,Software","Washington,District of Columbia,United States,North America",$10M to $50M,101-250,http://www.linkedin.com/company/virtru,https://www.virtru.com,active
6bbdb8cb-98f3-5e34-2960-0a57f11f7573,Verient,Verient provides cloud-based financial software products for banks and other financial institutions.,"Banking,Cloud Computing,Finance,Financial Services,FinTech,Software","San Jose,California,United States,North America",Less than $1M,11-50,NA,http://verient.com,active
da4c575e-8f6f-d933-8863-79df9444b7b9,Merchant Services Irvine,Merchant Services is a leading provider of electronic payment solutions to businesses throughout the United States.,"Accounting,Credit Cards,E-Commerce,Electronics,Telecommunications","Irvine,California,United States,North America",$10M to $50M,11-50,NA,http://www.merchantsvcs.com,active
f8c0f2e5-03b1-4d0f-9f50-534c4137a637,Early Learning Centre,Early Learning Centre offering toys and books with educational content.,Toys,"Watford,Hertford,United Kingdom,Europe",NA,NA,NA,https://www.elc.co.uk/,active
82a7e0d9-1a6b-49b1-93fe-c679bd42eaed,Farmers and Drovers Bank,"Farmers and Drovers Bank offers loans, commercial card services, cash and wealth management and real estate lending services.","Banking,Financial Services,Lending,Wealth Management","Council Grove,Kansas,United States,North America",$1M to $10M,11-50,NA,http://farmersanddrovers.com/,active
31de49d9-4081-2c13-2a4b-e0b6a160d783,TransUnion,"TransUnion provides total credit protection all in one place from credit alerts, credit reports and credit scores.","Credit Bureau,Financial Services,Information Technology,Legal","Chicago,Illinois,United States,North America",$500M to $1B,5001-10000,https://www.linkedin.com/company/transunion/,http://www.transunion.com,active
2a46bc32-c289-a0ca-21db-c048530690f2,Teleperformance USA,Teleperformance USA is a provider of outsourced Customer Relationship Management services for Fortune 500 companies.,"Consulting,CRM,Information Technology,Software","Paris,Ile-de-France,France,Europe",$1M to $10M,1-10,https://www.linkedin.com/company/teleperformance-usa/,http://www.teleperformanceusa.com/en-us/,active
fd76ba1f-2070-6142-2ece-175439cbb4b5,Sykes Enterprises,SYKES provides customer contact management solutions and services in the business process outsourcing arena.,"Contact Management,Outsourcing","Tampa,Florida,United States,North America",$100M to $500M,10001+,http://www.linkedin.com/company/sykes,http://www.sykes.com/,active
49109fdd-927c-1ec8-503d-9f6d99190f22,SWIFT,"SWIFT is a member-owned cooperative through which the financial world conducts its business operations with speed, certainty and confidence.","Financial Services,Security","La Hulpe,Brabant Wallon,Belgium,Europe",$10M to $50M,5001-10000,https://www.linkedin.com/company/swift,http://www.swift.com,active
d27c58d7-a360-414e-98ec-dff0f253b1b3,Suttell & Hammer,Suttell & Hammer is a creditors-rights law firm.,"Consulting,Law Enforcement,Legal","Bellevue,Washington,United States,North America",$10M to $50M,101-250,https://www.linkedin.com/company/suttell-&-hammer-p-s-/,http://www.suttellandhammer.com/,active
054bf6eb-d35c-2207-4ec3-e6efd8082d38,"BullShip Press, LLC","Produces financial newsletters, instructional DVDs and websites meant to cut through the BS on Wall Street","Finance,Financial Services,Internet","Hamden,Connecticut,United States,North America",NA,NA,NA,NA,active
9721fe78-2726-9178-c84d-c19596ef91d7,Steiger Dynamics,"Steiger Dynamics Living room PCs that deliver the ultimate entertainment experience to the audio, video, and gaming enthusiast.","Electronics,Hardware","Redwood City,California,United States,North America",$1M to $10M,1-10,https://www.linkedin.com/company/steiger-dynamics-llc,http://www.steigerdynamics.com/,active
bce1cda1-aa8a-4834-bade-b4e2f8aa446e,Message Systems,"Message Systems is a computer software company providing email infrastructure, authentication, security, and marketing services.","Security,Software","Columbia,Maryland,United States,North America",$1M to $10M,101-250,https://www.linkedin.com/company/message-systems,http://messagesystems.com,active
1654ecbe-3a3c-423a-8f5d-17875c40ec9a,ITA Compliance LLC,"ITA Compliance specializes in providing examination services to broker-dealers, investment advisers, and transfer agents.","Advice,Consulting,Financial Services","Boston,Massachusetts,United States,North America",NA,1-10,https://www.linkedin.com/company/ita-compliance-llc/about,https://www.itacompliance.com,active
d003718d-0dbc-a37c-2d96-61f4443bb1f0,SITEL,Sitel is a contact center provider that delivers return on customer investment (RoCI).,"Advice,Enterprise Software,Outsourcing","Nashville,Tennessee,United States,North America",$1M to $10M,10001+,http://www.linkedin.com/company/3095,http://www.sitel.com,active
dca8ef7a-f0e7-4b01-a613-11f1a0641bc5,HealthDrive Corporation,HealthDrive Corporation is a hospital & health care company specializing in on-site dentistry and audiology services.,"Health Care,Hospital,Medical","Wellesley,Massachusetts,United States,North America",NA,251-500,https://www.linkedin.com/company/healthdrive-corp/,http://healthdrive.com,active
aa748295-d546-3d30-578c-9cfea3fb7368,"Demas Law Group, P.C.",Demas Law Group of Sacremento CA helps personal injury victims get the compensation they deserve.,Legal,"Sacramento,California,United States,North America",Less than $1M,1-10,https://www.linkedin.com/in/demas-law-group-p-c-33a87951,https://www.injury-attorneys.com/,active
30775a80-807f-4c34-b936-b64ff6fddc59,Stave Inc,"Business Apps that Simplify Work on ServiceNow - Stave creates ServiceNow platform apps for back office, departments, and line of business","Information Technology,Software","San Diego,California,United States,North America",Less than $1M,11-50,https://www.linkedin.com/company/stave/,http://www.staveapps.com,active
a60a7ef9-4778-4eef-af33-532d731288c9,Salesforce Marketing Cloud,ExactTarget is now the Salesforce Marketing Cloud .,"Sales,Sales Automation",Not found,NA,1001-5000,https://www.linkedin.com/company/exacttarget/,http://www.salesforce.com/marketingcloud,active
89ed3fd5-2182-e7f5-a95b-ac02f00c9ea4,Blueleaf,Salesforce.com meets Mint.com for Wealth Managers,"Finance,Financial Services,FinTech,SaaS","Boston,Massachusetts,United States,North America",$1M to $10M,11-50,https://www.linkedin.com/company/blueleaf.com/,http://www.blueleaf.com,active
28b72d89-3194-4cbd-b534-099f9a9c91ae,Rubin & Rothman,Rubin & Rothman is a legal firm that handles cases in the area of financial services.,"Finance,Financial Services,Legal,Professional Services","Central Islip,New York,United States,North America",$1M to $10M,101-250,https://www.linkedin.com/company/rubin-&-rothman-llc,https://www.rubinrothman.com/,active
e0a75ec2-43d3-5dec-5729-3a6825c8325a,Red Ventures,"A portfolio of influential brands, digital platforms, and strategic partnerships that help people make life's most important decisions.","Content,Digital Media,E-Commerce,Higher Education,Home Services,Media and Entertainment,Personal Health,Travel","Fort Mill,South Carolina,United States,North America",$500M to $1B,1001-5000,https://www.linkedin.com/company/red-ventures,http://www.redventures.com,active
427e8f37-684f-1cdf-cc36-a1ee0faf9701,Red Hat,Red Hat is a multinational software company engaged in providing open-source software products to the enterprise community.,"Enterprise Software,Linux,Open Source,Operating Systems,Software","Raleigh,North Carolina,United States,North America",$1B to $10B,10001+,http://www.linkedin.com/company/red-hat,http://www.redhat.com,active
f3105992-b379-6406-4de2-e816d8324920,RDM Corporation,RDM Corporation is a provider of specialized hardware and software solutions in the electronic payment industry.,"Financial Services,Software","Waterloo,Ontario,Canada,North America",NA,51-100,NA,http://www.rdmcorp.com,active
ae330e5b-6d39-4314-8124-a2b0bb49f654,Radius Global Solutions,"Radius Global Solutions is a leading provider of accounts receivable, customer relations and revenue cycle management solutions.",Outsourcing,"Ambler,Pennsylvania,United States,North America",$10M to $50M,1001-5000,NA,https://www.radiusgs.com/,active
4f9f31eb-c970-4c16-4488-ddf9ad5af9b0,RR Donnelley & Sons,RR Donnelley is a global provider of integrated multichannel marketing and business communications solutions.,"Advertising,Brand Marketing,Digital Marketing,Marketing,Public Relations","Chicago,Illinois,United States,North America",$1B to $10B,10001+,https://www.linkedin.com/company/rr-donnelley,https://www.rrd.com/,active
56751eb3-c0c9-495f-2775-f813518b13f1,Qualy-Pak,Qualy-Pak is a wetfish processor located in the Port of Los Angeles.,Food Processing,"Los Angeles,California,United States,North America",NA,NA,NA,NA,active
51e53827-9e41-b841-adcf-f254187e05ad,Pontoon Solutions,Pontoon Solutions is a provider of workforce solutions,"Information Technology,Software","Jacksonville,Florida,United States,North America",$500M to $1B,1001-5000,NA,http://www.pontoonsolutions.com,active
f9306388-6a94-0bce-328d-55423c0e9b2d,Ping Identity,Ping Identity provides cloud-based identity management software for companies and government organizations.,"Government,Identity Management,Security,Software","Denver,Colorado,United States,North America",$100M to $500M,501-1000,https://www.linkedin.com/company/ping-identity,https://www.pingidentity.com,active
1beed504-5d45-f7cf-dd71-dd0fcc1f2321,Wireless NRG,"Pushing the boundaries of imagination, Wireless NRG, LLC was the the founding father of the original NRG Pouch and Power Pouch.","Power Grid,Wireless","Lake Mary,Florida,United States,North America",NA,1-10,NA,http://www.wireless-nrg.com,active
143764d8-9c9b-701f-7350-00b85f6cd2a7,PagerDuty,PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.,"Cloud Computing,Information Technology,IT Management,SaaS,Software","San Francisco,California,United States,North America",$50M to $100M,501-1000,http://www.linkedin.com/company/pagerduty,http://www.pagerduty.com,active
24805532-2cca-4813-b408-02e79eedfcf2,"Resolve Suite, LLC",A cloud-based investor and property management software built for the motivated and determined entrepreneur. ,"Property Development,Property Management,Real Estate,Real Estate Investment","Hendersonville,Tennessee,United States,North America",NA,11-50,NA,https://resolvesuite.com/,active
8814e50b-9b67-45f4-b420-501cf4865eb4,Nelson & Smith Attorneys at Law,Nelson & Smith Attorneys at Law is an injury law firm that offers professional services for injury victims.,Not found,Not found,NA,NA,NA,https://www.nelsonsmithinjurylawyers.com/,active
47e1fff1-b9da-5901-dea2-124087ef1ba3,Neiman Marcus Group,Neiman Marcus Group is a company that owns an apparel store that sells everything from shoes to shirts.,"Fashion,Lifestyle,Retail,Shoes","Dallas,Texas,United States,North America",$1B to $10B,10001+,https://www.linkedin.com/company/neimanmarcusgroup,https://www.neimanmarcusgroup.com,active
3a2485ac-d4e4-14d8-ba59-3cbdb39b61d0,Bureau van Dijk,Provide company information solutions that can make you more efficient.,"Business Intelligence,Consumer Research,Information Services,Legal,Risk Management","Amsterdam,Noord-Holland,The Netherlands,Europe",$100M to $500M,501-1000,https://www.linkedin.com/company-beta/8162/?pathWildcard=8162,http://www.bvdinfo.com/,active
9961e5b4-8c3a-4a5c-8168-d5950d6f907d,Microsoft Australia,"Microsoft Australia is a subsidiary of Microsoft Corporation, a leader in software, services, devices, and solutions.","Information Technology,Internet,Operating Systems,Software","Sydney,New South Wales,Australia,Oceania",NA,NA,NA,https://www.microsoft.com/australia/,active
b29ce0f9-64b3-98c1-56b0-2368bfab24bb,mGage,mGage is a cloud-based application that delivers interactions across multiple channels.,"App Marketing,CRM,Lead Generation,SMS","Atlanta,Georgia,United States,North America",$10M to $50M,501-1000,http://www.linkedin.com/company/mgage-llc,http://www.mGage.com,active
4b0ec7f2-0688-4cf8-a5c0-134ebc429fa3,Messerli | Kramer,"Messerli Kramer is a leading law firm in the Twin Cities founded in 1965 with locations in Minneapolis, St. Paul and Plymouth, Minnesota.",Consulting,"Minneapolis,Minnesota,United States,North America",$10M to $50M,251-500,https://www.linkedin.com/company/76139,http://messerlikramer.com,active
22b1de90-f06d-4076-a241-9ca4c0185db2,McCracken Financial Solutions,McCracken is the  leader in software solutions for the commercial real estate lending industry. ,"Asset Management,Commercial Real Estate,Lending,Real Estate,Software","Billerica,Massachusetts,United States,North America",$10M to $50M,51-100,NA,http://mccrackenfs.com/,active
00bf38b8-3dbd-4f06-ba3b-946937828aa3,Super Liquid,"Super Liquid is market demand for modern solutions improving comfort, quality and safety of life.","Chemical,Manufacturing","Kielce,Swietokrzyskie,Poland,Europe",NA,NA,NA,http://www.superliquid.pl/,active
c63af22c-f233-4627-b40e-294fa1bb56b3,"Lyons, Doughty & Veldhuis","Lyons, Doughty & Veldhuis is a law firm that renders debt collection, financial and legal advice services.","Advice,Consulting,Finance,Financial Services,Legal","Wilmington,Delaware,United States,North America",$1M to $10M,NA,NA,https://ldvlaw.com/,active
7e3bd125-71a9-0d4d-49cc-1f7aa835bcb4,LexisNexis,"LexisNexis offers content-enabled workflow solutions in the legal, risk management, corporate, government, accounting, and academic markets.","Accounting,Legal,Risk Management,Software","Albany,New York,United States,North America",$1B to $10B,10001+,https://www.linkedin.com/company/lexisnexis/,http://www.lexisnexis.com,active
ada19621-3515-427d-b4a0-e34d975f49f7,Kramer & Frank P.C,"Kramer & Frank is a litigation and trial practice law firm that focuses on commercial, collection & fiduciary disputes & litigation.","Consulting,Legal,Professional Services","St Louis,Missouri,United States,North America",$10M to $50M,51-100,https://www.linkedin.com/company/kramer-&-frank-p.c./about/,https://www.kramerandfrank.com/,active
fa4d9173-493b-f3d0-b343-c7e884aff7ad,Kohl’s,"Kohl’s Corporation (Kohl’s) operate family-oriented department stores that sell apparel, footwear and accessories","Beauty,Home Decor,Jewelry,Retail","Menomonee Falls,Wisconsin,United States,North America",$1B to $10B,10001+,https://www.linkedin.com/company/kohls-department-stores,https://corporate.kohls.com,active
5072a4b1-2ee3-4a93-8dcd-52b20611e69b,US Card Systems,US Card Systems is a full service merchant card processor.,"Consulting,Credit,Financial Services,Gift Card,Technical Support","Brainerd,Minnesota,United States,North America",$1M to $10M,11-50,NA,http://uscardsystems.com,active
97d7db4c-7d2d-5f2c-569d-2ff61677eecd,iQor,"iQor provides customer interactions, product support services, data and analytics, and iQor LinQ solutions for enterprises.","Customer Service,Logistics,Outsourcing,Supply Chain Management","St. Petersburg,Florida,United States,North America",$500M to $1B,5001-10000,http://www.linkedin.com/company/iqor,http://www.iqor.com,active
602d21a1-7d7e-53bd-6a1e-a82239b55930,IDEMIA,IDEMIA offers identity and security solutions for an increasingly digital and connected world.,"Identity Management,Information Technology,Network Security","Courbevoie,Ile-de-France,France,Europe",$1M to $10M,10001+,https://www.linkedin.com/company/idemiagroup,https://www.idemia.com/,active
069bea75-eae2-4d91-ab35-f7c154f78fc3,Huneeus Wines,Huneeus has been discovering great vineyards of the world throughout a career in wine spanning five decades and 15 countries.,"Food and Beverage,Wine And Spirits","Napa,California,United States,North America",$10M to $50M,1-10,NA,https://www.huneeuswines.com,active
aa2a4fb9-86d2-2b2c-9203-83ae6fbc9d18,3Cinteractive,3Cinteractive is a mobile marketing company that provides the expertise and technology to increase engagement.,"Marketing Automation,Mobile","Boca Raton,Florida,United States,North America",$1M to $10M,101-250,http://www.linkedin.com/company/3cinteractive,http://www.3C.com,closed
4d07526b-8ad2-441f-9ab2-5c0da73e3d94,80% Lowers,"80% Lowers offers enthusiasts the most diverse selection of 80% lower receivers, build kits and 80% jigs in the industry.","E-Commerce,Sporting Goods",Not found,NA,NA,NA,https://www.80-lower.com/,active
0bf6777e-da8e-43c9-9d8e-6ccd96207bc0,Absolute Solutions,"@bsolute Solutions provides one stop home and office services such as cleaning services, aircon servicing and repair, and carpet cleaning.","Home Services,Service Industry","Hougang,North-East Region,Singapore,Asia",NA,NA,NA,https://www.absolutesolutions.com.sg/,active
7bbe85d5-4f6f-e287-5575-130f8da303b5,Accuity,Accuity offers a suite of innovative solutions for payments and compliance professionals.,"Banking,Enterprise Software,Financial Services,Information Technology,Software","Evanston,Illinois,United States,North America",$10M to $50M,501-1000,https://www.linkedin.com/company/accuity,https://accuity.com,active
4b4911ad-a8b3-aa1a-bd14-54a932ecc98a,Salus Innovations,Salus Innovations Corp is an integrated mobile software package for companies across all sectors to manage their health.,"Enterprise Software,Mobile,Oil and Gas,Software","Fort Nelson,British Columbia,Canada,North America",$1M to $10M,1-10,NA,http://www.salusinnovations.com/,active
1f1767ed-5330-c0ad-6348-e66a0a04c45e,Aptimize,Aptimize provides software that increases website performance by speeding up websites and intranets.,"Internet,SaaS,Software,Web Development","Wellington,Wellington,New Zealand,Oceania",NA,1001-5000,NA,http://www.aptimize.com,active
20ca428a-f8e4-38ae-2d6f-8b4fa120b9cc,Acuant,"Acuant is a provider of identity solutions for data capture, document authentication, and identity verification.","Biometrics,Facial Recognition,Identity Management,Information Technology,Security,Software","Los Angeles,California,United States,North America",$10M to $50M,101-250,https://www.linkedin.com/company/acuant,https://www.acuant.com/,active
f29ce33d-4f82-6f24-6f8e-3d8e72ba51cc,Acxiom,Acxiom is a SaaS-based company providing enterprise data analytics to fuel data-driven results.,"Analytics,Big Data,Direct Marketing,Email Marketing,Information Technology,Privacy,SaaS,Software","Little Rock,Arkansas,United States,North America",$1B to $10B,501-1000,http://www.linkedin.com/company/acxiom,http://www.acxiom.com,active
f4f70b9b-8da8-1480-bccb-5f2f398e593f,AddressDoctor,Global Address Verification Software,Software,"Boonton,New Jersey,United States,North America",NA,1001-5000,NA,http://www.addressdoctor.com/en/default.asp,active
c2593c0f-0e34-48bb-b358-1e251d0ea23b,Tummy Trimmer/Abdominal Belt 8 Inch Manufacturers & Suppliers India,We offering finest quality tummy trimmer & abdominal belt 8 inch which is extra strong three panel elastic Easy to apply & easy to adjust.,Not found,Not found,NA,NA,NA,http://www.orthorehabaids.com/AS101c_08/abdominal-support-8-premium-tummy-trimmer.html,active
